average,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0081101,0.0538622,0.0033313,0.087022,0.0220423
16384,0.0337644,0.0623097,0.0138707,0.0848068,0.0227451
65536,0.137587,0.0733382,0.0602909,0.0867307,0.0284333
262144,0.570184,0.116066,0.255118,0.0903412,0.0572114
1048576,2.2538,0.333157,1.18388,0.219874,0.26036
4194304,9.07632,1.84346,6.52839,0.380971,0.926989
16777216,36.094,7.41442,27.7272,0.73501,4.24811

max,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0538,0.151264,0.018,0.228832,0.038272
16384,0.0771,0.12768,0.0608,0.204096,0.037728
65536,0.6779,0.137536,0.6046,0.195296,0.04912
262144,0.8343,0.623008,0.5835,0.680224,0.095072
1048576,3.2377,0.513504,3.1321,0.734912,0.346112
4194304,13.7134,2.51533,11.481,2.55286,1.20202
16777216,44.4966,7.96784,37.6787,1.01171,4.6703

min,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0068,0.050144,0.003,0.065536,0.02048
16384,0.0295,0.059392,0.0124,0.05312,0.020992
65536,0.1217,0.07168,0.0535,0.073888,0.026624
262144,0.491,0.107136,0.2192,0.055648,0.055296
1048576,1.9765,0.323264,0.9529,0.168288,0.258048
4194304,8.231,1.81485,5.3191,0.25904,0.923648
16777216,33.0741,7.2537,24.0585,0.606432,3.80698

sample-0,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0107,0.098496,0.0082,0.110528,0.036864
16384,0.0424,0.114656,0.0206,0.099744,0.037728
65536,0.1772,0.137536,0.0886,0.108544,0.04912
262144,0.5971,0.199936,0.2517,0.102432,0.095072
1048576,2.2656,0.4464,1.4025,0.259712,0.346112
4194304,8.9332,1.93261,5.9999,0.419744,1.20202
16777216,36.9228,7.46758,28.5365,0.792832,4.6305

sample-1,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0077,0.05104,0.0032,0.075488,0.020608
16384,0.0306,0.06144,0.0127,0.079584,0.021184
65536,0.1296,0.07168,0.0557,0.077824,0.028672
262144,0.5634,0.112416,0.2416,0.082464,0.067392
1048576,2.644,0.352576,1.1376,0.176128,0.258208
4194304,8.7594,1.82688,5.8481,0.456704,0.924672
16777216,36.5874,7.3297,28.2696,0.740224,4.06864

sample-2,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0079,0.052832,0.0034,0.083136,0.021504
16384,0.034,0.0616,0.0135,0.088416,0.022528
65536,0.1424,0.072672,0.0585,0.091392,0.027904
262144,0.5627,0.113536,0.2588,0.088256,0.057056
1048576,2.356,0.329344,2.6696,0.22528,0.259168
4194304,9.7958,1.85782,6.8017,0.39936,0.923648
16777216,38.6956,7.47648,32.926,0.760384,4.62646

sample-3,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.0079,0.0536,0.0034,0.081056,0.02176
16384,0.0341,0.061824,0.0137,0.080896,0.022496
65536,0.1361,0.073472,0.0575,0.082624,0.027584
262144,0.5473,0.1144,0.2399,0.086752,0.057024
1048576,2.1767,0.328256,1.0754,0.18272,0.260096
4194304,9.6295,1.82435,6.979,0.35696,0.925472
16777216,35.2586,7.53242,28.5742,0.813056,4.51926

sample-4,cpu-without-scan,work-efficient,cpu-with-scan,thrust,work-efficient-hierarchical
4096,0.008,0.060032,0.0033,0.09216,0.022528
16384,0.0335,0.06144,0.0135,0.085824,0.022528
