average,cpu,thrust,work-efficient-hierarchical
4096,0.153015,0.0588898,0.845018
16384,0.716175,0.0941491,0.889464
65536,3.32262,0.0946996,1.1084
262144,14.5406,0.298225,2.30518
1048576,56.2143,0.462662,10.0119
4194304,219.917,0.943681,36.0783
16777216,872.931,3.30855,140.907

max,cpu,thrust,work-efficient-hierarchical
4096,0.2961,1.18362,2.98598
16384,1.0209,0.581024,2.8961
65536,4.4685,0.620544,1.84682
262144,17.9271,1.64531,4.18208
1048576,68.4304,0.91984,12.886
4194304,268.385,1.33792,44.7094
16777216,927.087,5.30842,143.667

min,cpu,thrust,work-efficient-hierarchical
4096,0.1393,0.049152,0.804992
16384,0.6596,0.083968,0.842208
65536,3.0695,0.078624,1.0768
262144,13.3019,0.192256,2.24256
1048576,51.7523,0.33072,9.91536
4194304,205.803,0.80064,35.9573
16777216,825.768,2.78502,140.356

sample-0,cpu,thrust,work-efficient-hierarchical
4096,0.1691,0.086208,1.47866
16384,0.8578,0.139488,1.55494
65536,4.0994,0.144224,1.84682
262144,14.5304,0.298528,3.59626
1048576,58.3377,0.49952,12.886
4194304,247.809,1.33792,44.7094
16777216,890.973,3.37206,140.376

sample-1,cpu,thrust,work-efficient-hierarchical
4096,0.1471,0.056416,0.912352
16384,0.6844,0.087136,0.845984
65536,3.203,0.085856,1.10797
262144,14.4766,0.334112,4.18208
1048576,54.0256,0.524288,9.9431
4194304,217.457,0.972,36.083
16777216,894.437,3.50925,140.356

sample-2,cpu,thrust,work-efficient-hierarchical
4096,0.1525,0.059712,0.816
16384,0.7786,0.092192,0.930304
65536,4.2201,0.196288,1.33939
262144,15.1314,0.204928,2.26509
1048576,54.7288,0.366304,9.99629
4194304,232.183,0.892608,35.9573
16777216,893.237,3.2809,140.51

sample-3,cpu,thrust,work-efficient-hierarchical
4096,0.1511,0.05472,0.823136
16384,0.7093,0.092928,0.86304
65536,3.3611,0.090912,1.08909
262144,14.1417,0.354048,2.45744
1048576,55.1872,0.512128,10.0536
4194304,222.598,0.989184,36.0465
16777216,864.275,3.62208,140.557

sample-4,cpu,thrust,work-efficient-hierarchical
4096,0.1503,0.060544,0.824864
16384,0.7251,0.090112,1.02605
65536,3.5787,0.092192,1.09382
262144,14.5038,0.21504,2.26688
1048576,55.8158,0.465792,9.95328
4194304,219.917,0.882624,36.0489
16777216,863.712,3.56518,140.604

sample-5,cpu,thrust,work-efficient-hierarchical
4096,0.1512,0.055296,0.931872
16384,0.7247,0.089088,0.884736
65536,3.3314,0.099712,1.1551
262144,14.3087,0.315392,2.42893
1048576,56.3171,0.3584,9.99958
4194304,215.718,0.976896,36.0325
16777216,873.977,3.73008,140.731

sample-6,cpu,thrust,work-efficient-hierarchical
4096,0.141,0.051488,0.81904
16384,0.6678,0.087264,0.865376
65536,3.2131,0.086016,1.08339
262144,15.2036,0.265696,2.29971
1048576,56.0638,0.528384,10.0311
4194304,221.663,1.04448,36.0255
16777216,892.38,3.70403,140.653

sample-7,cpu,thrust,work-efficient-hierarchical
4096,0.1447,0.054816,0.812896
16384,0.6969,0.08944,0.858944
65536,3.4162,0.088256,1.09603
262144,13.8226,0.527872,2.43914
1048576,54.0274,0.534464,9.94534
4194304,211.7,0.933888,36.0725
16777216,861.753,3.48445,140.663

sample-8,cpu,thrust,work-efficient-hierarchical
4096,0.1504,0.055008,0.828416
16384,0.7186,0.088064,0.86016
65536,3.2853,0.088832,1.08832
262144,13.8879,0.32896,2.28461
1048576,56.2988,0.545248,10.0127
4194304,239.117,0.82896,35.9751
16777216,911.448,3.34227,140.614

sample-9,cpu,thrust,work-efficient-hierarchical
4096,0.1599,0.055488,0.82112
16384,0.7291,0.09024,0.861536
65536,3.4377,0.08832,1.08893
262144,15.4578,0.360448,2.32442
1048576,57.1692,0.527008,10.0086
4194304,214.085,1.0007,36.1179
16777216,877.144,3.88915,140.869

sample-10,cpu,thrust,work-efficient-hierarchical
4096,0.1462,0.057344,0.813056
16384,0.679,0.089216,0.87776
65536,3.2543,0.089376,1.08822
262144,14.0675,0.315392,2.67443
1048576,57.2615,0.55296,10.0311
4194304,211.39,0.9584,36.1186
16777216,902.756,3.46477,140.584

sample-11,cpu,thrust,work-efficient-hierarchical
4096,0.1485,0.055712,0.933312
16384,0.6949,0.090112,0.876544
65536,3.448,0.095456,1.0959
262144,14.7796,0.26208,2.26083
1048576,57.6548,0.443808,10.1665
4194304,223.146,1.11277,36.1165
16777216,853.12,3.40989,140.684

sample-12,cpu,thrust,work-efficient-hierarchical
4096,0.141,0.0512,0.880768
16384,0.6692,0.08656,0.86352
65536,3.3032,0.090432,1.27504
262144,13.6156,0.36528,2.26048
1048576,56.7179,0.444416,9.98282
4194304,214.155,0.935424,36.0488
16777216,903.851,3.39126,140.611

sample-13,cpu,thrust,work-efficient-hierarchical
4096,0.1517,0.057344,0.815104
16384,0.7636,0.090592,0.898784
65536,3.3955,0.091968,1.09018
262144,15.3809,0.288768,2.256
1048576,57.6912,0.356352,9.93485
4194304,224.847,0.910912,36.0122
16777216,848.869,3.53981,140.814

sample-14,cpu,thrust,work-efficient-hierarchical
4096,0.1451,0.055712,0.84992
16384,0.6999,0.135552,0.896992
65536,3.3806,0.12288,1.09978
262144,14.9793,0.2664,2.25645
1048576,55.5618,0.513056,9.96659
4194304,218,0.837024,35.9812
16777216,885.514,3.57491,140.647

sample-15,cpu,thrust,work-efficient-hierarchical
4096,0.153,0.054976,0.84176
16384,0.7155,0.090112,0.85808
65536,3.2995,0.086784,1.09152
262144,14.5021,0.298464,2.26368
1048576,57.1573,0.408096,9.96342
4194304,227.819,1.06614,36.0168
16777216,843.808,3.49994,142.056

sample-16,cpu,thrust,work-efficient-hierarchical
4096,0.1419,0.05552,0.940032
16384,0.6631,0.088064,0.854016
65536,3.2733,0.089792,1.09363
262144,15.1884,0.854208,2.32822
1048576,54.5486,0.500416,9.93773
4194304,215.6,0.830176,36.0745
16777216,882.024,3.34029,140.796

sample-17,cpu,thrust,work-efficient-hierarchical
4096,0.1588,0.055264,0.851968
16384,0.7658,0.090464,0.884576
65536,3.5334,0.090112,1.18963
262144,14.6798,0.212992,2.28883
1048576,56.9336,0.367296,10.0024
4194304,218.924,0.973536,36.0108
16777216,838.802,3.67984,140.911

sample-18,cpu,thrust,work-efficient-hierarchical
4096,0.1412,0.052768,0.8128
16384,0.6677,0.09024,0.848288
65536,3.1269,0.089536,1.11206
262144,13.8479,0.403904,2.26179
1048576,58.2011,0.342016,10.1028
4194304,224.466,0.930816,36.0343
16777216,896.729,3.33552,140.636

sample-19,cpu,thrust,work-efficient-hierarchical
4096,0.1446,0.057312,0.84608
16384,0.6973,0.121664,0.932736
65536,3.7877,0.1024,1.10797
262144,14.799,0.247072,2.28042
1048576,58.9333,0.348192,9.93811
4194304,219.215,0.950272,36.0761
16777216,839.421,3.72749,140.629

sample-20,cpu,thrust,work-efficient-hierarchical
4096,0.1448,0.053824,0.86352
16384,0.6775,0.086208,0.85472
65536,3.1471,0.091936,1.10614
262144,14.184,0.304384,2.25674
1048576,53.9465,0.477184,9.9281
4194304,218.354,0.952608,36.0836
16777216,881.092,3.49389,140.804

sample-21,cpu,thrust,work-efficient-hierarchical
4096,0.1522,0.053856,0.82656
16384,0.7282,0.0976,0.985088
65536,3.425,0.09376,1.10781
262144,14.8513,0.24992,2.27328
1048576,56.261,0.636768,10.2659
4194304,224.343,0.937984,36.0694
16777216,836.449,3.58643,140.837

sample-22,cpu,thrust,work-efficient-hierarchical
4096,0.1447,0.053248,0.825184
16384,0.6657,0.08768,0.859232
