average,cpu,thrust,work-efficient-hierarchical
4096,0.153416,0.0578456,0.85165
16384,0.719042,0.0930977,0.869802
65536,3.32782,0.0929091,1.1029
262144,14.573,0.297844,2.29565
1048576,56.2242,0.463605,10.0124
4194304,220.06,0.952196,36.0748
16777216,873.08,4.4491,156.97

max,cpu,thrust,work-efficient-hierarchical
4096,0.254,0.124992,3.6857
16384,1.3877,0.167712,1.5472
65536,4.5992,0.1536,1.89462
262144,18.5994,0.524288,3.72947
1048576,68.5945,1.53389,13.0131
4194304,258.819,1.41312,44.6607
16777216,955.695,7.18854,172.427

min,cpu,thrust,work-efficient-hierarchical
4096,0.1386,0.04928,0.808448
16384,0.6596,0.084736,0.84288
65536,3.0561,0.076928,1.0752
262144,13.364,0.198112,2.24051
1048576,51.8097,0.320928,9.91827
4194304,206.278,0.796672,35.9035
16777216,824.912,3.25133,144.023

sample-0,cpu,thrust,work-efficient-hierarchical
4096,0.1859,0.08192,1.49251
16384,0.7342,0.139296,1.5472
65536,3.9998,0.147008,1.89462
262144,15.2314,0.308992,3.62915
1048576,60.1023,0.598048,13.0131
4194304,222.452,1.41312,44.6607
16777216,896.608,5.0183,169.992

sample-1,cpu,thrust,work-efficient-hierarchical
4096,0.145,0.052448,0.809056
16384,0.6834,0.11376,0.854336
65536,3.1882,0.089792,1.08157
262144,14.1307,0.46032,2.56387
1048576,54.5656,0.468352,9.98038
4194304,213.98,0.891872,35.9823
16777216,891.404,5.08659,163.383

sample-2,cpu,thrust,work-efficient-hierarchical
4096,0.1514,0.05488,0.808704
16384,0.7176,0.09696,0.865664
65536,3.6713,0.14592,1.0864
262144,14.6826,0.213312,2.27075
1048576,56.6415,0.337184,10.1055
4194304,225.325,0.875232,35.9035
16777216,924.89,5.10525,162.913

sample-3,cpu,thrust,work-efficient-hierarchical
4096,0.1519,0.055968,0.82896
16384,0.7385,0.101408,0.858336
65536,3.343,0.079488,1.09978
262144,14.2662,0.251904,2.27942
1048576,56.1437,0.487808,10.1526
4194304,219.215,0.987136,36.1214
16777216,865.335,4.93773,167.512

sample-4,cpu,thrust,work-efficient-hierarchical
4096,0.151,0.062208,0.8216
16384,0.7168,0.090752,0.852064
65536,3.6023,0.094208,1.08723
262144,14.4864,0.212992,2.25997
1048576,57.2456,0.436224,9.99382
4194304,220.247,1.08307,36.0784
16777216,891.077,3.88848,150.249

sample-5,cpu,thrust,work-efficient-hierarchical
4096,0.1521,0.053536,0.808448
16384,0.6842,0.088,0.857248
65536,3.5466,0.084096,1.67936
262144,14.88,0.226848,2.26282
1048576,55.9116,0.475136,10.1933
4194304,214.019,1.02522,36.0754
16777216,861.835,4.76688,161.28

sample-6,cpu,thrust,work-efficient-hierarchical
4096,0.1409,0.0536,0.821024
16384,0.6611,0.087872,0.854016
65536,3.1219,0.09056,1.0919
262144,13.7609,0.34304,2.2567
1048576,53.4955,0.536576,9.96115
4194304,218.224,0.978592,35.9975
16777216,897.039,4.09805,152.26

sample-7,cpu,thrust,work-efficient-hierarchical
4096,0.1674,0.052992,0.825344
16384,0.7019,0.09008,0.854336
65536,3.3001,0.089856,1.09267
262144,14.4852,0.34432,2.27181
1048576,58.2535,0.490272,9.94547
4194304,208.673,0.970432,36.0153
16777216,859.51,4.40525,159.357

sample-8,cpu,thrust,work-efficient-hierarchical
4096,0.1526,0.055296,0.825344
16384,0.6818,0.086016,0.851232
65536,3.1684,0.087488,1.0911
262144,14.0266,0.40208,2.41747
1048576,54.4967,0.467168,9.95286
4194304,212.69,1.09568,36.1403
16777216,891.144,5.0272,172.264

sample-9,cpu,thrust,work-efficient-hierarchical
4096,0.1732,0.055552,0.823136
16384,0.7366,0.10384,0.856544
65536,3.4745,0.08896,1.08941
262144,15.0994,0.296288,2.45802
1048576,57.5267,0.348576,10.0156
4194304,222.79,0.983072,36.0271
16777216,862.051,3.92803,145.512

sample-10,cpu,thrust,work-efficient-hierarchical
4096,0.2133,0.054272,0.816288
16384,0.6842,0.089184,0.873632
65536,3.1421,0.089664,1.10166
262144,14.273,0.334528,2.31504
1048576,54.8047,0.475904,10.0252
4194304,213.207,0.986432,36.0975
16777216,877.093,5.0729,166.347

sample-11,cpu,thrust,work-efficient-hierarchical
4096,0.1488,0.054112,0.866272
16384,0.7241,0.09168,0.851136
65536,3.3175,0.090464,1.09158
262144,14.608,0.396928,2.25709
1048576,58.5736,0.483328,9.97773
4194304,217.703,0.908864,36.0633
16777216,840.625,5.00493,165.034

sample-12,cpu,thrust,work-efficient-hierarchical
4096,0.1582,0.051328,0.825184
16384,0.7206,0.096928,0.865056
65536,3.1393,0.08816,1.14688
262144,13.7084,0.335904,2.26304
1048576,58.0449,0.450784,10.0361
4194304,216.03,0.975136,36.0198
16777216,896.825,4.28112,151.647

sample-13,cpu,thrust,work-efficient-hierarchical
4096,0.1519,0.05632,0.822752
16384,0.7345,0.090112,0.878752
65536,3.67,0.094592,1.09078
262144,14.52,0.232736,2.2569
1048576,58.4233,0.516224,10.0188
4194304,225.128,0.94176,36.0224
16777216,847.068,4.42778,151.079

sample-14,cpu,thrust,work-efficient-hierarchical
4096,0.1449,0.05232,0.965824
16384,0.7317,0.088864,0.87632
65536,3.3665,0.090688,1.0993
262144,14.449,0.220128,2.27741
1048576,56.1909,0.468992,9.97875
4194304,218.493,1.04243,35.9936
16777216,882.704,3.8695,149.572

sample-15,cpu,thrust,work-efficient-hierarchical
4096,0.1522,0.055616,0.811264
16384,0.7128,0.094208,0.861984
65536,3.3011,0.092512,1.15405
262144,14.72,0.350624,2.2713
1048576,59.2101,0.36224,9.94557
4194304,223.635,0.851488,36.1402
16777216,841.245,5.17875,158.253

sample-16,cpu,thrust,work-efficient-hierarchical
4096,0.1602,0.055072,0.844192
16384,0.6707,0.090112,0.851872
65536,3.2151,0.088928,1.11213
262144,14.5144,0.232416,2.25485
1048576,57.6867,0.460288,9.93485
4194304,215.675,0.903808,36.0556
16777216,876.147,5.04182,159.13

sample-17,cpu,thrust,work-efficient-hierarchical
4096,0.183,0.059392,0.965024
16384,0.8169,0.09072,0.88704
65536,3.5512,0.092672,1.09158
262144,14.531,0.321536,2.29274
1048576,55.6944,0.505856,10.0476
4194304,224.11,0.889728,36.129
16777216,843.803,5.23878,172.257

sample-18,cpu,thrust,work-efficient-hierarchical
4096,0.1419,0.051136,0.819552
16384,0.7006,0.089472,0.98656
65536,3.5047,0.091008,1.09002
262144,13.577,0.389632,2.26755
1048576,52.7417,0.506304,10.0168
4194304,219.353,0.914368,36.0739
16777216,920.391,4.15309,152.326

sample-19,cpu,thrust,work-efficient-hierarchical
4096,0.1441,0.053376,0.8144
16384,0.6992,0.08816,1.01331
65536,3.3663,0.106336,1.13066
262144,15.0955,0.372736,2.41088
1048576,58.3018,0.415744,9.94714
4194304,220.155,0.891072,36.1647
16777216,840.204,4.45226,155.087

sample-20,cpu,thrust,work-efficient-hierarchical
4096,0.1448,0.053376,0.819488
16384,0.6773,0.087488,0.856608
65536,3.2434,0.086688,1.08624
262144,13.6432,0.335904,2.24899
1048576,62.3717,0.336032,10.0708
4194304,216.809,0.88912,36.045
16777216,884.866,4.97536,161.573

sample-21,cpu,thrust,work-efficient-hierarchical
4096,0.1533,0.055296,0.825888
16384,0.7316,0.09088,0.860096
65536,3.741,0.090496,1.09699
262144,14.9528,0.232864,2.27168
1048576,57.6165,0.49616,10.0086
4194304,226.759,0.992992,36.2508
16777216,854.804,4.69078,154.744

sample-22,cpu,thrust,work-efficient-hierarchical
4096,0.1459,0.055296,0.823264
16384,0.7282,0.088032,0.848256
65536,3.1564,0.090112,1.08544
